,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,combined_cols
110,Das Boot,"Adventure, Drama, Thriller","The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",Wolfgang Petersen,Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann,Hubertus Bengsch,das boot adventure drama thriller claustrophobic world wwii german u boat boredom filth sheer terror wolfgang petersen j rgen prochnow herbert gr nemeyer klaus wennemann hubertus bengsch
111,Taxi Driver,"Crime, Drama","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",Martin Scorsese,Robert De Niro,Jodie Foster,Cybill Shepherd,Albert Brooks,taxi driver crime drama mentally unstable veteran works nighttime taxi driver new york city perceived decadence sleaze fuels urge violent action attempting liberate presidential campaign worker underage prostitute martin scorsese robert de niro jodie foster cybill shepherd albert brooks
112,The Sting,"Comedy, Crime, Drama",Two grifters team up to pull off the ultimate con.,George Roy Hill,Paul Newman,Robert Redford,Robert Shaw,Charles Durning,sting comedy crime drama two grifters team pull ultimate con george roy hill paul newman robert redford robert shaw charles durning
113,A Clockwork Orange,"Crime, Drama, Sci-Fi","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Stanley Kubrick,Malcolm McDowell,Patrick Magee,Michael Bates,Warren Clarke,clockwork orange crime drama sci fi future sadistic gang leader imprisoned volunteers conduct aversion experiment go planned stanley kubrick malcolm mcdowell patrick magee michael bates warren clarke
114,2001: A Space Odyssey,"Adventure, Sci-Fi","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",Stanley Kubrick,Keir Dullea,Gary Lockwood,William Sylvester,Daniel Richter,2001 space odyssey adventure sci fi discovering mysterious artifact buried beneath lunar surface mankind sets quest find origins help intelligent supercomputer h l 9000 stanley kubrick keir dullea gary lockwood william sylvester daniel richter
115,Per qualche dollaro in più,Western,Two bounty hunters with the same intentions team up to track down a Western outlaw.,Sergio Leone,Clint Eastwood,Lee Van Cleef,Gian Maria Volontè,Mara Krupp,per qualche dollaro pi western two bounty hunters intentions team track western outlaw sergio leone clint eastwood lee van cleef gian maria volont mara krupp
116,Lawrence of Arabia,"Adventure, Biography, Drama","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",David Lean,Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins,lawrence arabia adventure biography drama story e lawrence english officer successfully united led diverse often warring arab tribes world war order fight turks david lean peter toole alec guinness anthony quinn jack hawkins
117,The Apartment,"Comedy, Drama, Romance","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Billy Wilder,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,apartment comedy drama romance man tries rise company letting executives use apartment trysts complications romance ensue billy wilder jack lemmon shirley maclaine fred macmurray ray walston
118,North by Northwest,"Adventure, Mystery, Thriller",A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,Alfred Hitchcock,Cary Grant,Eva Marie Saint,James Mason,Jessie Royce Landis,north northwest adventure mystery thriller new york city advertising executive goes run mistaken government agent group foreign spies alfred hitchcock cary grant eva marie saint james mason jessie royce landis
119,Vertigo,"Mystery, Romance, Thriller",A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,Alfred Hitchcock,James Stewart,Kim Novak,Barbara Bel Geddes,Tom Helmore,vertigo mystery romance thriller former police detective juggles wrestling personal demons becoming obsessed hauntingly beautiful woman alfred hitchcock james stewart kim novak barbara bel geddes tom helmore
120,Singin' in the Rain,"Comedy, Musical, Romance",A silent film production company and cast make a difficult transition to sound.,Stanley Donen,Gene Kelly,Gene Kelly,Donald O'Connor,Debbie Reynolds,singin rain comedy musical romance silent film production company cast make difficult transition sound stanley donen gene kelly gene kelly donald connor debbie reynolds
121,Ikiru,Drama,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,Akira Kurosawa,Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori,Haruo Tanaka,ikiru drama bureaucrat tries find meaning life discovers terminal cancer akira kurosawa takashi shimura nobuo kaneko shin ichi himori haruo tanaka
122,Ladri di biciclette,Drama,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",Vittorio De Sica,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,Elena Altieri,ladri di biciclette drama post war italy working class man bicycle stolen son set find vittorio de sica lamberto maggiorani enzo staiola lianella carell elena altieri
123,Double Indemnity,"Crime, Drama, Film-Noir",An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,Billy Wilder,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,Byron Barr,double indemnity crime drama film noir insurance representative lets talked seductive housewife murder insurance fraud scheme arouses suspicion insurance investigator billy wilder fred macmurray barbara stanwyck edward g robinson byron barr
124,Citizen Kane,"Drama, Mystery","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",Orson Welles,Orson Welles,Joseph Cotten,Dorothy Comingore,Agnes Moorehead,citizen kane drama mystery following death publishing tycoon charles foster kane reporters scramble uncover meaning final utterance rosebud orson welles orson welles joseph cotten dorothy comingore agnes moorehead
125,M - Eine Stadt sucht einen Mörder,"Crime, Mystery, Thriller","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",Fritz Lang,Peter Lorre,Ellen Widmann,Inge Landgut,Otto Wernicke,eine stadt sucht einen rder crime mystery thriller police german city unable catch child murderer criminals join manhunt fritz lang peter lorre ellen widmann inge landgut otto wernicke
126,Metropolis,"Drama, Sci-Fi","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",Fritz Lang,Brigitte Helm,Alfred Abel,Gustav Fröhlich,Rudolf Klein-Rogge,metropolis drama sci fi futuristic city sharply divided working class city planners son city mastermind falls love working class prophet predicts coming savior mediate differences fritz lang brigitte helm alfred abel gustav fr hlich rudolf klein rogge
127,The Kid,"Comedy, Drama, Family","The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",Charles Chaplin,Charles Chaplin,Edna Purviance,Jackie Coogan,Carl Miller,kid comedy drama family tramp cares abandoned child events put relationship jeopardy charles chaplin charles chaplin edna purviance jackie coogan carl miller
128,Chhichhore,"Comedy, Drama","A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma,Prateik,chhichhore comedy drama tragic incident forces anirudh middle aged man take trip memory lane reminisce college days along friends labelled losers nitesh tiwari sushant singh rajput shraddha kapoor varun sharma prateik
129,Uri: The Surgical Strike,"Action, Drama, War","Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",Aditya Dhar,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,uri surgical strike action drama war indian army special forces execute covert operation avenging killing fellow army men base terrorist group aditya dhar vicky kaushal paresh rawal mohit raina yami gautam
130,K.G.F: Chapter 1,"Action, Drama","In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",Prashanth Neel,Yash,Srinidhi Shetty,Ramachandra Raju,Archana Jois,k g f chapter 1 action drama 1970s fierce rebel rises brutal oppression becomes symbol hope legions downtrodden people prashanth neel yash srinidhi shetty ramachandra raju archana jois
131,Green Book,"Biography, Comedy, Drama",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco,green book biography comedy drama working class italian american bouncer becomes driver african american classical pianist tour venues 1960s american south peter farrelly viggo mortensen mahershala ali linda cardellini sebastian maniscalco
132,"Three Billboards Outside Ebbing, Missouri","Comedy, Crime, Drama",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones,three billboards outside ebbing missouri comedy crime drama mother personally challenges local authorities solve daughter murder fail catch culprit martin mcdonagh frances mcdormand woody harrelson sam rockwell caleb landry jones
133,Talvar,"Crime, Drama, Mystery",An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,Meghna Gulzar,Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi,Sohum Shah,talvar crime drama mystery experienced investigator confronts several conflicting theories perpetrators violent double homicide meghna gulzar irrfan khan konkona sen sharma neeraj kabi sohum shah
134,Baahubali 2: The Conclusion,"Action, Drama","When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",S.S. Rajamouli,Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,baahubali 2 conclusion action drama shiva son bahubali learns heritage begins look answers story juxtaposed past events unfolded mahishmati kingdom rajamouli prabhas rana daggubati anushka shetty tamannaah bhatia
135,Klaus,"Animation, Adventure, Comedy","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Sergio Pablos,Carlos Martínez López,Jason Schwartzman,J.K. Simmons,Rashida Jones,klaus animation adventure comedy simple act kindness always sparks another even frozen faraway place smeerensburg new postman jesper befriends toymaker klaus gifts melt age old feud deliver sleigh full holiday traditions sergio pablos carlos mart nez l pez jason schwartzman j k simmons rashida jones
136,Drishyam,"Crime, Drama, Mystery","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",Nishikant Kamat,Ajay Devgn,Shriya Saran,Tabu,Rajat Kapoor,drishyam crime drama mystery desperate measures taken man tries save family dark side law commit unexpected crime nishikant kamat ajay devgn shriya saran tabu rajat kapoor
137,Queen,"Adventure, Comedy, Drama",A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,Vikas Bahl,Kangana Ranaut,Rajkummar Rao,Lisa Haydon,Jeffrey Ho,queen adventure comedy drama delhi girl traditional family sets solo honeymoon marriage gets cancelled vikas bahl kangana ranaut rajkummar rao lisa haydon jeffrey ho
138,Mandariinid,"Drama, War","In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",Zaza Urushadze,Lembit Ulfsak,Elmo Nüganen,Giorgi Nakashidze,Misha Meskhi,mandariinid drama war 1992 war rages abkhazia breakaway region georgia estonian man ivo decided stay behind harvest crops tangerines bloody conflict door wounded man left behind ivo takes zaza urushadze lembit ulfsak elmo n ganen giorgi nakashidze misha meskhi
139,Bhaag Milkha Bhaag,"Biography, Drama, Sport",The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,Rakeysh Omprakash Mehra,Farhan Akhtar,Sonam Kapoor,Pawan Malhotra,Art Malik,bhaag milkha bhaag biography drama sport truth behind ascension milkha singh scarred india pakistan partition rakeysh omprakash mehra farhan akhtar sonam kapoor pawan malhotra art malik
140,Gangs of Wasseypur,"Action, Comedy, Crime","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Anurag Kashyap,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Tigmanshu Dhulia,gangs wasseypur action comedy crime clash sultan shahid khan leads expulsion khan wasseypur ignites deadly blood feud spanning three generations anurag kashyap manoj bajpayee richa chadha nawazuddin siddiqui tigmanshu dhulia
141,Udaan,Drama,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",Vikramaditya Motwane,Rajat Barmecha,Ronit Roy,Manjot Singh,Ram Kapoor,udaan drama expelled school 16 year old boy returns home abusive oppressive father vikramaditya motwane rajat barmecha ronit roy manjot singh ram kapoor
142,Paan Singh Tomar,"Action, Biography, Crime","The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",Tigmanshu Dhulia,Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya,paan singh tomar action biography crime story paan singh tomar indian athlete seven time national steeplechase champion becomes one feared dacoits chambal valley retirement tigmanshu dhulia irrfan khan mahie gill rajesh abhay hemendra dandotiya
143,El secreto de sus ojos,"Drama, Mystery, Romance",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,Juan José Campanella,Ricardo Darín,Soledad Villamil,Pablo Rago,Carla Quevedo,el secreto de sus ojos drama mystery romance retired legal counselor writes novel hoping find closure one past unresolved homicide cases unreciprocated love superior still haunt decades later juan jos campanella ricardo dar n soledad villamil pablo rago carla quevedo
144,Warrior,"Action, Drama, Sport","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Gavin O'Connor,Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,warrior action drama sport youngest son alcoholic former boxer returns home trained father competition mixed martial arts tournament path puts fighter collision course estranged older brother gavin connor tom hardy nick nolte joel edgerton jennifer morrison
145,Shutter Island,"Mystery, Thriller","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Martin Scorsese,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley,shutter island mystery thriller 1954 u marshal investigates disappearance murderer escaped hospital criminally insane martin scorsese leonardo dicaprio emily mortimer mark ruffalo ben kingsley
146,Up,"Animation, Adventure, Comedy","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",Pete Docter,Bob Peterson,Edward Asner,Jordan Nagai,John Ratzenberger,animation adventure comedy 78 year old carl fredricksen travels paradise falls house equipped balloons inadvertently taking young stowaway pete docter bob peterson edward asner jordan nagai john ratzenberger
147,The Wolf of Wall Street,"Biography, Crime, Drama","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey,wolf wall street biography crime drama based true story jordan belfort rise wealthy stock broker living high life fall involving crime corruption federal government martin scorsese leonardo dicaprio jonah hill margot robbie matthew mcconaughey
148,Chak De! India,"Drama, Family, Sport",Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,Shimit Amin,Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge,Shilpa Shukla,chak de india drama family sport kabir khan coach indian women national hockey team dream make girls team emerge victorious odds shimit amin shah rukh khan vidya malvade sagarika ghatge shilpa shukla
149,There Will Be Blood,Drama,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson,Daniel Day-Lewis,Paul Dano,Ciarán Hinds,Martin Stringer,blood drama story family religion hatred oil madness focusing turn century prospector early days business paul thomas anderson daniel day lewis paul dano ciar n hinds martin stringer
150,Pan's Labyrinth,"Drama, Fantasy, War","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Guillermo del Toro,Ivana Baquero,Ariadna Gil,Sergi López,Maribel Verdú,pan labyrinth drama fantasy war falangist spain 1944 bookish young stepdaughter sadistic army officer escapes eerie captivating fantasy world guillermo del toro ivana baquero ariadna gil sergi l pez maribel verd
151,Toy Story 3,"Animation, Adventure, Comedy","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,Ned Beatty,toy story 3 animation adventure comedy toys mistakenly delivered day care center instead attic right andy leaves college woody convince toys abandoned return home lee unkrich tom hanks tim allen joan cusack ned beatty
152,V for Vendetta,"Action, Drama, Sci-Fi","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",James McTeigue,Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea,v vendetta action drama sci fi future british tyranny shadowy freedom fighter known alias v plots overthrow help young woman james mcteigue hugo weaving natalie portman rupert graves stephen rea
153,Rang De Basanti,"Comedy, Crime, Drama","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Rakeysh Omprakash Mehra,Aamir Khan,Soha Ali Khan,Siddharth,Sharman Joshi,rang de basanti comedy crime drama story six young indians assist english woman film documentary freedom fighters past events lead relive long forgotten saga freedom rakeysh omprakash mehra aamir khan soha ali khan siddharth sharman joshi
154,Black,Drama,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.",Sanjay Leela Bhansali,Amitabh Bachchan,Rani Mukerji,Shernaz Patel,Ayesha Kapoor,black drama cathartic tale young woman see hear talk teacher brings ray light dark world sanjay leela bhansali amitabh bachchan rani mukerji shernaz patel ayesha kapoor
155,Batman Begins,"Action, Adventure","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,batman begins action adventure training mentor batman begins fight free crime ridden gotham city corruption christopher nolan christian bale michael caine ken watanabe liam neeson
156,"Swades: We, the People",Drama,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Ashutosh Gowariker,Shah Rukh Khan,Gayatri Joshi,Kishori Ballal,Smit Sheth,swades people drama successful indian scientist returns indian village take nanny america process rediscovers roots ashutosh gowariker shah rukh khan gayatri joshi kishori ballal smit sheth
157,Der Untergang,"Biography, Drama, History","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",Oliver Hirschbiegel,Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes,Juliane Köhler,der untergang biography drama history traudl junge final secretary adolf hitler tells nazi dictator final days berlin bunker end wwii oliver hirschbiegel bruno ganz alexandra maria lara ulrich matthes juliane k hler
158,Hauru no ugoku shiro,"Animation, Adventure, Family","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Hayao Miyazaki,Chieko Baishô,Takuya Kimura,Tatsuya Gashûin,Akihiro Miwa,hauru ugoku shiro animation adventure family unconfident young woman cursed old body spiteful witch chance breaking spell lies self indulgent yet insecure young wizard companions legged walking castle hayao miyazaki chieko baish takuya kimura tatsuya gash akihiro miwa
159,A Beautiful Mind,"Biography, Drama","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",Ron Howard,Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer,beautiful mind biography drama john nash brilliant asocial mathematician accepts secret work cryptography life takes turn nightmarish ron howard russell crowe ed harris jennifer connelly christopher plummer
160,Hera Pheri,"Action, Comedy, Crime","Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",Priyadarshan,Akshay Kumar,Sunil Shetty,Paresh Rawal,Tabu,hera pheri action comedy crime three unemployed men look answers money problems opportunity arrives know priyadarshan akshay kumar sunil shetty paresh rawal tabu
161,"Lock, Stock and Two Smoking Barrels","Action, Comedy, Crime","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.",Guy Ritchie,Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,lock stock two smoking barrels action comedy crime botched card game london triggers four friends thugs weed growers hard gangsters loan sharks debt collectors collide series unexpected events sake weed cash two antique shotguns guy ritchie jason flemyng dexter fletcher nick moran jason statham
162,L.A. Confidential,"Crime, Drama, Mystery","As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Curtis Hanson,Kevin Spacey,Russell Crowe,Guy Pearce,Kim Basinger,l confidential crime drama mystery corruption grows 1950s los angeles three policemen one strait laced one brutal one sleazy investigate series murders brand justice curtis hanson kevin spacey russell crowe guy pearce kim basinger
163,Eskiya,"Crime, Drama, Thriller","Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",Yavuz Turgul,Sener Sen,Ugur Yücel,Sermin Hürmeriç,Yesim Salkim,eskiya crime drama thriller baran bandit released prison 35 years searches vengeance lover yavuz turgul sener sen ugur cel sermin h rmeri yesim salkim
164,Heat,"Crime, Drama, Thriller",A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,heat crime drama thriller group professional bank robbers start feel heat police unknowingly leave clue latest heist michael mann al pacino robert de niro val kilmer jon voight
165,Casino,"Crime, Drama","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,James Woods,casino crime drama tale greed deception money power murder occur two best friends mafia enforcer casino executive compete gambling empire fast living fast loving socialite martin scorsese robert de niro sharon stone joe pesci james woods
166,Andaz Apna Apna,"Action, Comedy, Romance",Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,Rajkumar Santoshi,Aamir Khan,Salman Khan,Raveena Tandon,Karisma Kapoor,andaz apna apna action comedy romance two slackers competing affections heiress inadvertently become protectors evil criminal rajkumar santoshi aamir khan salman khan raveena tandon karisma kapoor
167,Unforgiven,"Drama, Western","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris,unforgiven drama western retired old west gunslinger william munny reluctantly takes one last job help old partner ned logan young man schofield kid clint eastwood clint eastwood gene hackman morgan freeman richard harris
168,Indiana Jones and the Last Crusade,"Action, Adventure","In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott,indiana jones last crusade action adventure 1938 father professor henry jones sr goes missing pursuing holy grail professor henry indiana jones jr finds adolf hitler nazis stop obtaining powers steven spielberg harrison ford sean connery alison doody denholm elliott
169,Dom za vesanje,"Comedy, Crime, Drama","In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",Emir Kusturica,Davor Dujmovic,Bora Todorovic,Ljubica Adzovic,Husnija Hasimovic,dom za vesanje comedy crime drama luminous tale set area around sarajevo italy perhan engaging young romany gypsy telekinetic powers seduced quick cash world petty crime threatens destroy loves emir kusturica davor dujmovic bora todorovic ljubica adzovic husnija hasimovic
170,Tonari no Totoro,"Animation, Family, Fantasy","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki,Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,Shigesato Itoi,tonari totoro animation family fantasy two girls move country near ailing mother adventures wondrous forest spirits live nearby hayao miyazaki hitoshi takagi noriko hidaka chika sakamoto shigesato itoi
171,Die Hard,"Action, Thriller",An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,John McTiernan,Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson,die hard action thriller nypd officer tries save wife several others taken hostage german terrorists christmas party nakatomi plaza los angeles john mctiernan bruce willis alan rickman bonnie bedelia reginald veljohnson
172,Ran,"Action, Drama, War","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Akira Kurosawa,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû,ran action drama war medieval japan elderly warlord retires handing empire three sons however vastly underestimates new found power corrupt cause turn akira kurosawa tatsuya nakadai akira terao jinpachi nezu daisuke ry
173,Raging Bull,"Biography, Drama, Sport","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese,Robert De Niro,Cathy Moriarty,Joe Pesci,Frank Vincent,raging bull biography drama sport life boxer jake lamotta whose violence temper led top ring destroyed life outside martin scorsese robert de niro cathy moriarty joe pesci frank vincent
174,Stalker,"Drama, Sci-Fi",A guide leads two men through an area known as the Zone to find a room that grants wishes.,Andrei Tarkovsky,Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,Nikolay Grinko,stalker drama sci fi guide leads two men area known zone find room grants wishes andrei tarkovsky alisa freyndlikh aleksandr kaydanovskiy anatoliy solonitsyn nikolay grinko
175,Höstsonaten,"Drama, Music","A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",Ingmar Bergman,Ingrid Bergman,Liv Ullmann,Lena Nyman,Halvar Björk,h stsonaten drama music married daughter longs mother love visited latter successful concert pianist ingmar bergman ingrid bergman liv ullmann lena nyman halvar bj rk
176,The Message,"Biography, Drama, History",This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.,Moustapha Akkad,Anthony Quinn,Irene Papas,Michael Ansara,Johnny Sekka,message biography drama history epic historical drama chronicles life times prophet muhammad serves introduction early islamic history moustapha akkad anthony quinn irene papas michael ansara johnny sekka
177,Sholay,"Action, Adventure, Comedy","After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",Ramesh Sippy,Sanjeev Kumar,Dharmendra,Amitabh Bachchan,Amjad Khan,sholay action adventure comedy family murdered notorious ruthless bandit former police officer enlists services two outlaws capture bandit ramesh sippy sanjeev kumar dharmendra amitabh bachchan amjad khan
178,Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Terry Gilliam,Terry Jones,Graham Chapman,John Cleese,Eric Idle,monty python holy grail adventure comedy fantasy king arthur knights round table embark surreal low budget search holy grail encountering many silly obstacles terry gilliam terry jones graham chapman john cleese eric idle
179,The Great Escape,"Adventure, Drama, History",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,John Sturges,Steve McQueen,James Garner,Richard Attenborough,Charles Bronson,great escape adventure drama history allied prisoners war plan several hundred number escape german camp world war ii john sturges steve mcqueen james garner richard attenborough charles bronson
180,To Kill a Mockingbird,"Crime, Drama","Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",Robert Mulligan,Gregory Peck,John Megna,Frank Overton,Rosemary Murphy,kill mockingbird crime drama atticus finch lawyer depression era south defends black man undeserved rape charge children prejudice robert mulligan gregory peck john megna frank overton rosemary murphy
181,Yôjinbô,"Action, Drama, Thriller",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Yôko Tsukasa,jinb action drama thriller crafty ronin comes town divided two criminal gangs decides play free town akira kurosawa toshir mifune eijir tatsuya nakadai ko tsukasa
