,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,combined_cols
595,Kaze tachinu,"Animation, Biography, Drama","A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.",Hayao Miyazaki,Hideaki Anno,Hidetoshi Nishijima,Miori Takimoto,Masahiko Nishimura,kaze tachinu animation biography drama look life jiro horikoshi man designed japanese fighter planes world war ii hayao miyazaki hideaki anno hidetoshi nishijima miori takimoto masahiko nishimura
596,Toy Story 4,"Animation, Adventure, Comedy","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Tony Hale,toy story 4 animation adventure comedy new toy called forky joins woody gang road trip alongside old new friends reveals big world toy josh cooley tom hanks tim allen annie potts tony hale
597,La migliore offerta,"Crime, Drama, Mystery",A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,Giuseppe Tornatore,Geoffrey Rush,Jim Sturgess,Sylvia Hoeks,Donald Sutherland,la migliore offerta crime drama mystery lonely art expert working mysterious reclusive heiress finds art worth examining giuseppe tornatore geoffrey rush jim sturgess sylvia hoeks donald sutherland
598,Moonrise Kingdom,"Comedy, Drama, Romance","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",Wes Anderson,Jared Gilman,Kara Hayward,Bruce Willis,Bill Murray,moonrise kingdom comedy drama romance pair young lovers flee new england town causes local search party fan find wes anderson jared gilman kara hayward bruce willis bill murray
599,How to Train Your Dragon 2,"Animation, Action, Adventure","When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",Dean DeBlois,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,train dragon 2 animation action adventure hiccup toothless discover ice cave home hundreds new wild dragons mysterious dragon rider two friends find center battle protect peace dean deblois jay baruchel cate blanchett gerard butler craig ferguson
600,The Big Short,"Biography, Comedy, Drama",In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,Adam McKay,Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,big short biography comedy drama 2006 2007 group investors bet us mortgage market research discover flawed corrupt market adam mckay christian bale steve carell ryan gosling brad pitt
601,Kokuhaku,"Drama, Thriller",A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.,Tetsuya Nakashima,Takako Matsu,Yoshino Kimura,Masaki Okada,Yukito Nishii,kokuhaku drama thriller psychological thriller grieving mother turned cold blooded avenger twisty master plan pay back responsible daughter death tetsuya nakashima takako matsu yoshino kimura masaki okada yukito nishii
602,Ang-ma-reul bo-at-da,"Action, Crime, Drama",A secret agent exacts revenge on a serial killer through a series of captures and releases.,Jee-woon Kim,Lee Byung-Hun,Choi Min-sik,Jeon Gook-Hwan,Ho-jin Chun,ang reul bo da action crime drama secret agent exacts revenge serial killer series captures releases jee woon kim lee byung hun choi min sik jeon gook hwan ho jin chun
603,The Girl with the Dragon Tattoo,"Crime, Drama, Mystery","Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer,Stellan Skarsgård,girl dragon tattoo crime drama mystery journalist mikael blomkvist aided search woman missing forty years lisbeth salander young computer hacker david fincher daniel craig rooney mara christopher plummer stellan skarsg rd
604,Captain Phillips,"Adventure, Biography, Crime","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",Paul Greengrass,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener,captain phillips adventure biography crime true story captain richard phillips 2009 hijacking somali pirates u flagged mv maersk alabama first american cargo ship hijacked two hundred years paul greengrass tom hanks barkhad abdi barkhad abdirahman catherine keener
605,Ajeossi,"Action, Crime, Drama",A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,Jeong-beom Lee,Won Bin,Sae-ron Kim,Tae-hoon Kim,Hee-won Kim,ajeossi action crime drama quiet pawnshop keeper violent past takes drug organ trafficking ring hope saving child friend jeong beom lee bin sae ron kim tae hoon kim hee kim
606,Straight Outta Compton,"Biography, Drama, History","The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",F. Gary Gray,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,straight outta compton biography drama history rap group nwa emerges mean streets compton los angeles california mid 1980s revolutionizes hip hop culture music tales life hood f gary gray shea jackson jr corey hawkins jason mitchell neil brown jr
607,Madeo,"Crime, Drama, Mystery",A mother desperately searches for the killer who framed her son for a girl's horrific murder.,Bong Joon Ho,Hye-ja Kim,Won Bin,Jin Goo,Je-mun Yun,madeo crime drama mystery mother desperately searches killer framed son girl horrific murder bong joon ho hye ja kim bin jin goo je mun yun
